root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,LB_wheel_yaw_joint,LB_wheel_pitch_joint,RB_wheel_yaw_joint,RB_wheel_pitch_joint,knee_joint,leg_joint,waist_pitch_joint,waist_yaw_joint,zarm_l1_joint,zarm_l2_joint,zarm_l3_joint,zarm_l4_joint,zarm_l5_joint,zarm_l6_joint,zarm_l7_joint,zarm_r1_joint,zarm_r2_joint,zarm_r3_joint,zarm_r4_joint,zarm_r5_joint,zarm_r6_joint,zarm_r7_joint,zhead_1_joint,zhead_2_joint
-2.023026943206787109e+00,-2.191179275512695312e+00,5.594515800476074219e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.068044081330299377e-02,-2.195682004094123840e-02,-2.195682004094123840e-02,2.217941284179687500e-01,-5.370469018816947937e-02,9.923911094665527344e-02,1.196326594799757004e-02,-1.123984083533287048e-01,2.327938750386238098e-02,1.040560845285654068e-02,-6.664753705263137817e-02,-6.494500488042831421e-02,-7.018034905195236206e-02,1.649187691509723663e-02,-1.155512407422065735e-01,-1.919207349419593811e-02,-1.050457544624805450e-02,-5.960392206907272339e-02,3.360010311007499695e-02,3.914427012205123901e-02
-2.042495489120483398e+00,-2.218156337738037109e+00,6.586426496505737305e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.035811290144920349e-02,-4.972883216325385547e-10,1.772085204720497131e-02,1.867065131664276123e-01,-9.240523725748062134e-02,1.473976969718933105e-01,-4.658457264304161072e-02,-2.403994649648666382e-01,2.978509850800037384e-02,-2.160381525754928589e-02,-1.278384625911712646e-01,-8.056782186031341553e-02,-1.349569857120513916e-01,-1.057579368352890015e-02,-2.094391435384750366e-01,-6.703288853168487549e-02,-9.919808246195316315e-03,-9.562931209802627563e-02,2.094047702848911285e-02,5.724597722291946411e-02
-2.041040420532226562e+00,-2.215645551681518555e+00,6.668431162834167480e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.250526592135429382e-02,-2.486441608162692773e-11,1.986800692975521088e-02,1.802229434251785278e-01,-9.397868067026138306e-02,1.496519595384597778e-01,-5.460959300398826599e-02,-2.502692043781280518e-01,2.980447560548782349e-02,-2.649795077741146088e-02,-1.319396644830703735e-01,-8.153314143419265747e-02,-1.381244510412216187e-01,-1.243331469595432281e-02,-2.172457128763198853e-01,-7.151563465595245361e-02,-8.203603327274322510e-03,-9.760034084320068359e-02,1.904951594769954681e-02,5.887762084603309631e-02
-2.040281295776367188e+00,-2.214805364608764648e+00,6.909863948822021484e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.871757492423057556e-02,-3.108427957306675316e-15,2.608031593263149261e-02,1.629231274127960205e-01,-9.748803824186325073e-02,1.569040566682815552e-01,-7.732550799846649170e-02,-2.773006260395050049e-01,3.104799985885620117e-02,-3.943368792533874512e-02,-1.425588130950927734e-01,-8.243491500616073608e-02,-1.537078320980072021e-01,-1.240488886833190918e-02,-2.389538437128067017e-01,-7.954287528991699219e-02,-8.512182161211967468e-03,-1.023334488272666931e-01,1.139915082603693008e-02,6.452924758195877075e-02
-2.040498971939086914e+00,-2.214754343032836914e+00,6.977937221527099609e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.084145605564117432e-02,-1.552543629681352177e-16,2.820419520139694214e-02,1.570196449756622314e-01,-9.831735491752624512e-02,1.585723161697387695e-01,-8.353876322507858276e-02,-2.854126393795013428e-01,3.217491880059242249e-02,-4.397943243384361267e-02,-1.459712833166122437e-01,-8.209635317325592041e-02,-1.566700190305709839e-01,-1.319966465234756470e-02,-2.444698512554168701e-01,-8.267521113157272339e-02,-7.559729740023612976e-03,-1.030517518520355225e-01,8.943893015384674072e-03,6.525344401597976685e-02
-2.043383598327636719e+00,-2.218518257141113281e+00,7.125049829483032227e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.591036170721054077e-02,4.404571325722361763e-20,3.327309712767601013e-02,1.412604749202728271e-01,-9.994500875473022461e-02,1.638973206281661987e-01,-9.791570156812667847e-02,-3.063763976097106934e-01,3.508737683296203613e-02,-5.541488528251647949e-02,-1.527980118989944458e-01,-8.072602003812789917e-02,-1.639586538076400757e-01,-1.619438268244266510e-02,-2.593376934528350830e-01,-9.102006256580352783e-02,-4.839269444346427917e-03,-1.041212901473045349e-01,3.120042383670806885e-03,6.065107509493827820e-02
-2.043304204940795898e+00,-2.219090700149536133e+00,7.176482677459716797e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.971710175275802612e-02,4.235164736271501695e-19,3.707984089851379395e-02,1.274543255567550659e-01,-1.005310192704200745e-01,1.712393462657928467e-01,-1.166308969259262085e-01,-3.211559951305389404e-01,3.032273612916469574e-02,-6.004268676042556763e-02,-1.569719314575195312e-01,-8.064743131399154663e-02,-1.668278723955154419e-01,-1.501643005758523941e-02,-2.695273458957672119e-01,-9.499461203813552856e-02,-1.912567415274679661e-03,-1.047430261969566345e-01,2.844514674507081509e-04,6.003280729055404663e-02
-2.044316530227661133e+00,-2.219559907913208008e+00,7.312792539596557617e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.016199827194213867e-02,-1.485785196564393118e-05,3.752474114298820496e-02,1.242351904511451721e-01,-1.035299897193908691e-01,1.726334095001220703e-01,-1.161501258611679077e-01,-3.360626399517059326e-01,3.264355286955833435e-02,-6.123689562082290649e-02,-1.637248843908309937e-01,-8.086757361888885498e-02,-1.669876575469970703e-01,-2.102438919246196747e-02,-2.786868214607238770e-01,-1.024803295731544495e-01,1.968967495486140251e-03,-1.056297793984413147e-01,-1.701239612884819508e-03,5.788690969347953796e-02
-2.044708251953125000e+00,-2.219590425491333008e+00,7.363870739936828613e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.104568928480148315e-02,-7.428926096508803312e-07,3.840843215584754944e-02,1.211545839905738831e-01,-1.036209389567375183e-01,1.747522652149200439e-01,-1.185943037271499634e-01,-3.424541652202606201e-01,3.150612488389015198e-02,-6.153237074613571167e-02,-1.661772727966308594e-01,-8.085461705923080444e-02,-1.711153686046600342e-01,-2.139236219227313995e-02,-2.834174036979675293e-01,-1.029216572642326355e-01,1.884280936792492867e-03,-1.067500412464141846e-01,-3.152675461024045944e-03,5.619742348790168762e-02
-2.044719219207763672e+00,-2.219903945922851562e+00,7.538547515869140625e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.468122243881225586e-02,-1.857231590740582305e-09,4.204396530985832214e-02,1.227482333779335022e-01,-1.051635965704917908e-01,1.751553565263748169e-01,-1.217947751283645630e-01,-3.549469411373138428e-01,3.038204647600650787e-02,-6.446405500173568726e-02,-1.705693602561950684e-01,-7.458736002445220947e-02,-1.828225553035736084e-01,-8.280372247099876404e-03,-2.881001830101013184e-01,-9.218013286590576172e-02,5.475281272083520889e-03,-1.047316193580627441e-01,-8.570948615670204163e-03,5.355630442500114441e-02
